"","Year","State","type","production","Avg","Measures","Materials","Chemical","Value"
"606",2019,"CALIFORNIA","BEARING","TREATED"," AVG","MEASURED IN PCT OF AREA BEARING","(POTASSIUM SILICATE = 72606)","OTHER","(D)"
"607",2019,"CALIFORNIA","BEARING","TREATED"," AVG","MEASURED IN PCT OF AREA BEARING","(REYNOUTRIA SACHALINE = 55809)","OTHER","7"
"608",2019,"CALIFORNIA","BEARING","TREATED"," AVG","MEASURED IN PCT OF AREA BEARING","(TOTAL)","OTHER","63"
"609",2019,"CALIFORNIA","BEARING","TREATED"," AVG","MEASURED IN PCT OF AREA BEARING","(TRICHODERMA VIRENS STRAIN G-41 = 176604)","OTHER","(D)"
"610",2019,"CALIFORNIA","BEARING","TREATED"," AVG","MEASURED IN PCT OF AREA BEARING"," ","(NITROGEN)","98"
"611",2019,"CALIFORNIA","BEARING","TREATED"," AVG","MEASURED IN PCT OF AREA BEARING"," ","(PHOSPHATE)","49"
"612",2019,"CALIFORNIA","BEARING","TREATED"," AVG","MEASURED IN PCT OF AREA BEARING"," ","(POTASH)","49"
"613",2019,"CALIFORNIA","BEARING","TREATED"," AVG","MEASURED IN PCT OF AREA BEARING"," ","(SULFUR)","30"
"614",2019,"CALIFORNIA","FRESH","- PRODUCTION"," ","MEASURED IN $"," ","","(D)"
"615",2019,"CALIFORNIA","FRESH","UTILIZED - PRODUCTION"," ","MEASURED IN CWT"," ","","(D)"
"616",2019,"CALIFORNIA","NOT","- PRODUCTION"," ","MEASURED IN CWT"," ","","20,000"
"617",2019,"CALIFORNIA","PROCESSING","PRODUCTION"," ","MEASURED IN $"," ","","(D)"
"618",2019,"CALIFORNIA","PROCESSING","UTILIZED - PRODUCTION"," ","MEASURED IN CWT"," ","","(D)"
"619",2019,"CALIFORNIA","UTILIZED","PRODUCTION"," ","MEASURED IN CWT"," ","","20,480,000"
"620",2019,"FLORIDA"," ",""," ",""," ","","9,400"
"621",2019,"FLORIDA"," ",""," ",""," ","","9,400"
"622",2019,"FLORIDA","MEASURED","$"," ",""," ","","307,200,000"
"623",2019,"FLORIDA","MEASURED","CWT"," ",""," ","","2,020,000"
"624",2019,"FLORIDA","MEASURED","CWT / ACRE"," ",""," ","","215"
"625",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(AZOXYSTROBIN = 128810)","FUNGICIDE","12,000"
"626",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BACILLUS SUBTILIS = 6479)","FUNGICIDE","(NA)"
"627",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CAPTAN = 81301)","FUNGICIDE","146,100"
"628",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(COPPER CHLORIDE HYD. = 23501)","FUNGICIDE","(D)"
"629",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(COPPER HYDROXIDE = 23401)","FUNGICIDE","(D)"
"630",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYFLUFENAMID = 555550)","FUNGICIDE","(D)"
"631",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYPRODINIL = 288202)","FUNGICIDE","4,100"
"632",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(DIFENOCONAZOLE = 128847)","FUNGICIDE","(D)"
"633",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(DODINE = 44301)","FUNGICIDE","(D)"
"634",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FENHEXAMID = 90209)","FUNGICIDE","(D)"
"635",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUDIOXONIL = 71503)","FUNGICIDE","2,700"
"636",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUTOLANIL = 128975)","FUNGICIDE","(D)"
"637",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUXAPYROXAD = 138009)","FUNGICIDE","(D)"
"638",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FOSETYL-AL = 123301)","FUNGICIDE","(D)"
"639",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ISOFETAMID = 270000)","FUNGICIDE","(D)"
"640",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(MEFENOXAM = 113502)","FUNGICIDE","(D)"
"641",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(MONO-POTASSIUM SALT = 76416)","FUNGICIDE","(D)"
"642",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(MYCLOBUTANIL = 128857)","FUNGICIDE","(D)"
"643",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PENTHIOPYRAD = 90112)","FUNGICIDE","(D)"
"644",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PYRACLOSTROBIN = 99100)","FUNGICIDE","(D)"
"645",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PYRIMETHANIL = 288201)","FUNGICIDE","(D)"
"646",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(SULFUR = 77501)","FUNGICIDE","(D)"
"647",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TETRACONAZOLE = 120603)","FUNGICIDE","(D)"
"648",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","10,200"
"649",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(THIRAM = 79801)","FUNGICIDE","54,800"
"650",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","FUNGICIDE","286,900"
"651",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TRIFLUMIZOLE = 128879)","FUNGICIDE","(D)"
"652",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(2,4-D","HERBICIDE","(D)"
"653",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(2,4-D","HERBICIDE","(D)"
"654",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(GLYPHOSATE ISO. SALT = 103601)","HERBICIDE","(D)"
"655",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(GLYPHOSATE POT. SALT = 103613)","HERBICIDE","(D)"
"656",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PARAQUAT = 61601)","HERBICIDE","(D)"
"657",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","HERBICIDE","300"
"658",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ABAMECTIN = 122804)","INSECTICIDE","300"
"659",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ACETAMIPRID = 99050)","INSECTICIDE","200"
"660",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BIFENAZATE = 586)","INSECTICIDE","700"
"661",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BIFENTHRIN = 128825)","INSECTICIDE","300"
"662",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT KURSTAKI ABTS-351 = 6522)","INSECTICIDE","(NA)"
"663",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","100"
"664",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYANTRANILIPROLE = 90098)","INSECTICIDE","(D)"
"665",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYFLUMETOFEN = 138831)","INSECTICIDE","(D)"
"666",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYPERMETHRIN = 109702)","INSECTICIDE","(D)"
"667",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FENPYROXIMATE = 129131)","INSECTICIDE","(D)"
"668",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(HEXYTHIAZOX = 128849)","INSECTICIDE","(D)"
"669",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(IMIDACLOPRID = 129099)","INSECTICIDE","(D)"
"670",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(MALATHION = 57701)","INSECTICIDE","(D)"
"671",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(METHOXYFENOZIDE = 121027)","INSECTICIDE","(D)"
"672",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(NALED = 34401)","INSECTICIDE","(D)"
"673",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(NOVALURON = 124002)","INSECTICIDE","1,000"
"674",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(SPINETORAM = 110007)","INSECTICIDE","600"
"675",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(SPIROMESIFEN = 24875)","INSECTICIDE","(D)"
"676",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(THIAMETHOXAM = 60109)","INSECTICIDE","100"
"677",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","INSECTICIDE","5,100"
"678",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ACIBENZOLAR-S-METHYL = 61402)","OTHER","(D)"
"679",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ALKYL. DIM. BENZ. AM = 69105)","OTHER","(D)"
"680",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CHLOROPICRIN = 81501)","OTHER","(D)"
"681",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(DECYLDIMETHYLOCTYL = 69165)","OTHER","(D)"
"682",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(DICHLOROPROPENE = 29001)","OTHER","(D)"
"683",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(DIDECYL DIM. AMMON. = 69166)","OTHER","(D)"
"684",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(DIMETHYLDIOCTYL = 69149)","OTHER","(D)"
"685",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUTRIAFOL = 128940)","OTHER","(D)"
"686",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(HYDROGEN PEROXIDE = 595)","OTHER","(D)"
"687",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PEROXYACETIC ACID = 63201)","OTHER","(D)"
"688",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(REYNOUTRIA SACHALINE = 55809)","OTHER","(D)"
"689",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","OTHER","125,900"
"690",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(NITROGEN)","320,000"
"691",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(PHOSPHATE)","86,000"
"692",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(POTASH)","389,000"
"693",2019,"FLORIDA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(SULFUR)","(D)"
"694",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.858"
"695",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS SUBTILIS = 6479)","FUNGICIDE","(NA)"
"696",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE","2.098"
"697",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(COPPER CHLORIDE HYD. = 23501)","FUNGICIDE","(D)"
"698",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(COPPER HYDROXIDE = 23401)","FUNGICIDE","(D)"
"699",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYFLUFENAMID = 555550)","FUNGICIDE","(D)"
"700",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE","0.313"
"701",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(DIFENOCONAZOLE = 128847)","FUNGICIDE","(D)"
"702",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(DODINE = 44301)","FUNGICIDE","(D)"
"703",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FENHEXAMID = 90209)","FUNGICIDE","(D)"
"704",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE","0.206"
"705",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUTOLANIL = 128975)","FUNGICIDE","(D)"
"706",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUXAPYROXAD = 138009)","FUNGICIDE","(D)"
"707",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FOSETYL-AL = 123301)","FUNGICIDE","(D)"
"708",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ISOFETAMID = 270000)","FUNGICIDE","(D)"
"709",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MEFENOXAM = 113502)","FUNGICIDE","(D)"
"710",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MONO-POTASSIUM SALT = 76416)","FUNGICIDE","(D)"
"711",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE","(D)"
"712",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PENTHIOPYRAD = 90112)","FUNGICIDE","(D)"
"713",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE","(D)"
"714",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRIMETHANIL = 288201)","FUNGICIDE","(D)"
"715",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFUR = 77501)","FUNGICIDE","(D)"
"716",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(TETRACONAZOLE = 120603)","FUNGICIDE","(D)"
"717",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","1.34"
"718",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIRAM = 79801)","FUNGICIDE","2.036"
"719",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLUMIZOLE = 128879)","FUNGICIDE","(D)"
"720",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(2,4-D","HERBICIDE","(D)"
"721",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(2,4-D","HERBICIDE","(D)"
"722",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(GLYPHOSATE ISO. SALT = 103601)","HERBICIDE","(D)"
"723",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(GLYPHOSATE POT. SALT = 103613)","HERBICIDE","(D)"
"724",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PARAQUAT = 61601)","HERBICIDE","(D)"
"725",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ABAMECTIN = 122804)","INSECTICIDE","0.045"
"726",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ACETAMIPRID = 99050)","INSECTICIDE","0.099"
"727",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENAZATE = 586)","INSECTICIDE","0.141"
"728",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","INSECTICIDE","0.05"
"729",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BT KURSTAKI ABTS-351 = 6522)","INSECTICIDE","(NA)"
"730",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","0.058"
"731",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYANTRANILIPROLE = 90098)","INSECTICIDE","(D)"
"732",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYFLUMETOFEN = 138831)","INSECTICIDE","(D)"
"733",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPERMETHRIN = 109702)","INSECTICIDE","(D)"
"734",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FENPYROXIMATE = 129131)","INSECTICIDE","(D)"
"735",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(HEXYTHIAZOX = 128849)","INSECTICIDE","(D)"
"736",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(IMIDACLOPRID = 129099)","INSECTICIDE","(D)"
"737",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE","(D)"
"738",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(METHOXYFENOZIDE = 121027)","INSECTICIDE","(D)"
"739",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NALED = 34401)","INSECTICIDE","(D)"
"740",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NOVALURON = 124002)","INSECTICIDE","0.065"
"741",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM = 110007)","INSECTICIDE","0.063"
"742",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SPIROMESIFEN = 24875)","INSECTICIDE","(D)"
"743",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIAMETHOXAM = 60109)","INSECTICIDE","0.054"
"744",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ACIBENZOLAR-S-METHYL = 61402)","OTHER","(D)"
"745",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ALKYL. DIM. BENZ. AM = 69105)","OTHER","(D)"
"746",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CHLOROPICRIN = 81501)","OTHER","(D)"
"747",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(DECYLDIMETHYLOCTYL = 69165)","OTHER","(D)"
"748",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(DICHLOROPROPENE = 29001)","OTHER","(D)"
"749",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(DIDECYL DIM. AMMON. = 69166)","OTHER","(D)"
"750",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(DIMETHYLDIOCTYL = 69149)","OTHER","(D)"
"751",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUTRIAFOL = 128940)","OTHER","(D)"
"752",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(HYDROGEN PEROXIDE = 595)","OTHER","(D)"
"753",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PEROXYACETIC ACID = 63201)","OTHER","(D)"
"754",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(REYNOUTRIA SACHALINE = 55809)","OTHER","(D)"
"755",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(NITROGEN)","1"
"756",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(PHOSPHATE)","1"
"757",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(POTASH)","2"
"758",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION"," ","(SULFUR)","(D)"
"759",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(AZOXYSTROBIN = 128810)","FUNGICIDE","4.123"
"760",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(BACILLUS SUBTILIS = 6479)","FUNGICIDE","(NA)"
"761",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(CAPTAN = 81301)","FUNGICIDE","16.856"
"762",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(COPPER CHLORIDE HYD. = 23501)","FUNGICIDE","(D)"
"763",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(COPPER HYDROXIDE = 23401)","FUNGICIDE","(D)"
"764",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(CYFLUFENAMID = 555550)","FUNGICIDE","(D)"
"765",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(CYPRODINIL = 288202)","FUNGICIDE","0.642"
"766",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(DIFENOCONAZOLE = 128847)","FUNGICIDE","(D)"
"767",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(DODINE = 44301)","FUNGICIDE","(D)"
"768",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(FENHEXAMID = 90209)","FUNGICIDE","(D)"
"769",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(FLUDIOXONIL = 71503)","FUNGICIDE","0.428"
"770",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(FLUTOLANIL = 128975)","FUNGICIDE","(D)"
"771",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(FLUXAPYROXAD = 138009)","FUNGICIDE","(D)"
"772",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(FOSETYL-AL = 123301)","FUNGICIDE","(D)"
"773",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(ISOFETAMID = 270000)","FUNGICIDE","(D)"
"774",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(MEFENOXAM = 113502)","FUNGICIDE","(D)"
"775",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(MONO-POTASSIUM SALT = 76416)","FUNGICIDE","(D)"
"776",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(MYCLOBUTANIL = 128857)","FUNGICIDE","(D)"
"777",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(PENTHIOPYRAD = 90112)","FUNGICIDE","(D)"
"778",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(PYRACLOSTROBIN = 99100)","FUNGICIDE","(D)"
"779",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(PYRIMETHANIL = 288201)","FUNGICIDE","(D)"
"780",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(SULFUR = 77501)","FUNGICIDE","(D)"
"781",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(TETRACONAZOLE = 120603)","FUNGICIDE","(D)"
"782",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","4.888"
"783",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(THIRAM = 79801)","FUNGICIDE","10.166"
"784",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(TRIFLUMIZOLE = 128879)","FUNGICIDE","(D)"
"785",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(2,4-D","HERBICIDE","(D)"
"786",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(2,4-D","HERBICIDE","(D)"
"787",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(GLYPHOSATE ISO. SALT = 103601)","HERBICIDE","(D)"
"788",2019,"FLORIDA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / YEAR","(GLYPHOSATE POT. SALT = 103613)","HERBICIDE","(D)"
